NAME,lon,lat
"Dayton, OH",-84.142,39.829
"Adjuntas, PR",-66.754,18.180
"Spirit Lake, IA",-95.151,43.378
"Malvern, AR",-92.946,34.318
"Mitchell, SD",-97.967,43.675
"Sierra Vista-Douglas, AZ",-109.751,31.880
"Greenville, OH",-84.619,40.133
"Bloomington, IN",-86.676,39.235
"Columbus, NE",-97.521,41.571
"Janesville-Beloit, WI",-89.072,42.671
"Burley, ID",-113.609,42.415
"Owosso, MI",-84.147,42.954
"Reading, PA",-75.926,40.416
"Stevens Point, WI",-89.501,44.476
"Pottsville, PA",-76.216,40.706
"Coamo, PR",-66.360,18.097
"Cambridge, MD",-76.013,38.483
"Springfield, OH",-83.784,39.917
"Tucson, AZ",-111.790,32.097
"Grants, NM",-108.000,34.912
"Boone, NC",-81.696,36.231
"Midland, TX",-101.991,32.090
"Atchison, KS",-95.313,39.532
"Andrews, TX",-102.638,32.305
"St. Marys, PA",-78.649,41.425
"Danville, KY",-84.733,37.515
"Big Spring, TX",-101.478,32.089
"Kahului-Wailuku-Lahaina, HI",-156.569,20.863
"Durant, OK",-96.260,33.962
"Natchez, MS-LA",-91.527,31.460
"Hood River, OR",-121.651,45.519
"Tupelo, MS",-88.685,34.265
"Wilson, NC",-77.919,35.705
"Pampa, TX",-100.813,35.401
"Macomb, IL",-90.678,40.456
"Newport, OR",-123.868,44.642
"Portland-Vancouver-Hillsboro, OR-WA",-122.478,45.598
"Kingston, NY",-74.259,41.888
"Kennewick-Richland, WA",-119.254,46.364
"Carbondale-Marion, IL",-89.190,37.762
"Lawrence, KS",-95.293,38.885
"Mayfield, KY",-88.651,36.723
"Raymondville, TX",-97.661,26.470
"Madison, IN",-85.439,38.786
"North Platte, NE",-100.776,41.234
"Eau Claire, WI",-91.282,44.939
"Harrison, AR",-93.164,36.085
"New Philadelphia-Dover, OH",-81.474,40.441
"Concord, NH",-71.680,43.297
"Gillette, WY",-105.548,44.248
"Statesboro, GA",-81.743,32.397
"South Bend-Mishawaka, IN-MI",-86.134,41.774
"Bakersfield, CA",-118.730,35.343
"Rolla, MO",-91.792,37.877
"Ionia, MI",-85.075,42.945
"Paragould, AR",-90.559,36.118
"Warsaw, IN",-85.861,41.244
"Defiance, OH",-84.490,41.324
"Lewistown, PA",-77.617,40.610
"Hereford, TX",-102.605,34.966
"Burlington, IA-IL",-91.059,40.873
"Somerset, KY",-84.577,37.104
"Wausau, WI",-89.759,44.898
"Fernley, NV",-119.189,39.020
"Wahpeton, ND-MN",-96.784,46.296
"Marion, OH",-83.161,40.587
"Amsterdam, NY",-74.440,42.902
"Abilene, TX",-99.718,32.450
"Elk City, OK",-99.682,35.269
"Bradford, PA",-78.569,41.808
"Ruidoso, NM",-105.459,33.745
"Faribault-Northfield, MN",-93.297,44.354
"Muncie, IN",-85.397,40.228
"Racine, WI",-88.061,42.747
"Fort Leonard Wood, MO",-92.208,37.825
"North Vernon, IN",-85.628,38.997
"Grenada, MS",-89.802,33.770
"Hobbs, NM",-103.412,32.792
"Coffeyville, KS",-95.743,37.193
"Lincoln, IL",-89.368,40.125
"Midland, MI",-84.388,43.647
"Malone, NY",-74.304,44.593
"Santa Fe, NM",-105.977,35.507
"Woodward, OK",-99.265,36.423
"Duncan, OK",-97.851,34.486
"Moscow, ID",-116.712,46.816
"Fitzgerald, GA",-83.220,31.760
"Fremont, OH",-83.146,41.356
"Saginaw, MI",-84.053,43.335
"Fremont, NE",-96.654,41.578
"Maryville, MO",-94.883,40.361
"Bay City, MI",-83.992,43.708
"Seneca Falls, NY",-76.824,42.781
"Snyder, TX",-100.916,32.746
"Gaffney, SC",-81.620,35.048
"Marion, NC",-82.049,35.682
"Uvalde, TX",-99.762,29.357
"Batavia, NY",-78.194,43.001
"Sidney, OH",-84.205,40.332
"Coshocton, OH",-81.920,40.302
"Celina, OH",-84.629,40.540
"Adrian, MI",-84.066,41.895
"Fort Smith, AR-OK",-94.566,35.190
"Corning, NY",-77.384,42.268
"Angola, IN",-85.001,41.644
"Akron, OH",-81.350,41.149
"Evanston, WY",-110.548,41.288
"Lexington-Fayette, KY",-84.433,38.091
"Logan, UT-ID",-111.769,41.890
"Bloomington, IL",-88.862,40.411
"Albany-Schenectady-Troy, NY",-73.942,42.789
"Emporia, KS",-96.153,38.456
"Carroll, IA",-94.861,42.036
"Platteville, WI",-90.706,42.867
"Tallahassee, FL",-84.286,30.405
"Meridian, MS",-88.664,32.413
"Lumberton, NC",-79.104,34.640
"Hermiston-Pendleton, OR",-119.065,45.525
"Portland-South Portland, ME",-70.469,43.696
"Hays, KS",-99.317,38.915
"Springfield, MA",-72.647,42.230
"Burlington, NC",-79.399,36.044
"Boston-Cambridge-Newton, MA-NH",-71.100,42.558
"Tampa-St. Petersburg-Clearwater, FL",-82.406,28.154
"Fallon, NV",-118.336,39.581
"Prineville, OR",-120.357,44.142
"Sioux City, IA-NE-SD",-96.372,42.579
"Harrisburg-Carlisle, PA",-77.101,40.327
"Gloversville, NY",-74.422,43.114
"Muscatine, IA",-91.113,41.484
"Bainbridge, GA",-84.579,30.878
"Dover, DE",-75.568,39.086
"Point Pleasant, WV-OH",-82.176,38.798
"Tiffin, OH",-83.128,41.124
"Muskegon, MI",-86.152,43.291
"Mount Vernon-Anacortes, WA",-121.730,48.479
"Decatur, IN",-84.937,40.746
"Oil City, PA",-79.758,41.401
"Mount Airy, NC",-80.688,36.415
"McAlester, OK",-95.748,34.924
"Beaver Dam, WI",-88.708,43.416
"Ozark, AL",-85.611,31.432
"Danville, IL",-87.733,40.183
"Douglas, GA",-82.849,31.549
"Boone, IA",-93.932,42.037
"Murray, KY",-88.272,36.621
"Lubbock, TX",-101.645,33.469
